count,infant_behavior,age,adult_demo
5.32,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
3,TP,younger,TP
5,TP,younger,MO
1,MO,younger,TP
4,MO,younger,TP
3,MO,younger,MO
4,MO,younger,TP
0,MO,younger,MO
1,MO,younger,TP
1,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
0,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,MO,younger,MO
1,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
2,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
1,MO,younger,TP
0,MO,younger,MO
2,MO,younger,TP
0,MO,younger,MO
3,MO,younger,TP
0,MO,younger,MO
5,MO,younger,MO
0,MO,younger,TP
5,MO,younger,TP
3,MO,younger,MO
0,MO,younger,MO
4,TP,younger,MO
3,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
2,TP,younger,MO
0,TP,younger,MO
3,TP,younger,MO
9,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
2,MO,younger,TP
2,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
15,TP,younger,TP
3,TP,younger,TP
6,TP,younger,TP
1,TP,younger,MO
8,TP,younger,TP
10,TP,younger,MO
1,TP,younger,MO
1,TP,younger,TP
4,TP,younger,MO
4,TP,younger,TP
0,TP,younger,TP
3,MO,younger,MO
0,MO,younger,MO
5,MO,younger,MO
2,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
1,TP,younger,MO
4,TP,younger,MO
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
1,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
5,MO,younger,TP
3,MO,younger,TP
0,MO,younger,MO
5,MO,younger,TP
4,MO,younger,MO
3,MO,younger,TP
5,MO,younger,TP
1,MO,younger,MO
1,MO,younger,MO
1,MO,younger,TP
3,MO,younger,TP
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
2,TP,younger,TP
0,TP,younger,MO
1,TP,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
4,TP,younger,MO
1,TP,younger,TP
1,TP,younger,TP
0,TP,younger,TP
1,TP,younger,TP
0,TP,younger,TP
1,TP,younger,MO
12,TP,younger,MO
1,TP,younger,TP
1,TP,younger,MO
2,TP,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
3,MO,younger,MO
4,MO,younger,TP
3,MO,younger,TP
0,MO,younger,MO
3,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
2,TP,younger,MO
3,TP,younger,TP
1,TP,younger,TP
1,TP,younger,MO
3,TP,younger,MO
4,TP,younger,TP
5,TP,younger,MO
5,TP,younger,MO
1,MO,younger,MO
3,MO,younger,MO
0,MO,younger,TP
2,MO,younger,TP
6,MO,younger,MO
1,MO,younger,TP
0,MO,younger,TP
2,MO,younger,TP
1,MO,younger,TP
3,MO,younger,TP
6,MO,younger,MO
0,TP,younger,TP
1,TP,younger,MO
1,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,TP
4,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
4,MO,younger,MO
1,MO,younger,MO
1,MO,younger,MO
1,MO,younger,MO
0,TP,younger,TP
0,TP,younger,TP
4,TP,younger,TP
1,TP,younger,TP
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
1,TP,younger,MO
0,TP,younger,MO
1,TP,younger,TP
0,MO,younger,TP
0,MO,younger,MO
3,MO,younger,TP
0,MO,younger,MO
1,MO,younger,MO
2,MO,younger,TP
1,MO,younger,MO
1,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
2,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
7,TP,younger,TP
4,TP,younger,MO
0,TP,younger,MO
1,TP,younger,MO
2,TP,younger,TP
0,MO,younger,MO
2,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
2,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
2,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
1,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
2,TP,younger,MO
0,TP,younger,TP
0,MO,younger,TP
1,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,TP,younger,MO
0,TP,younger,MO
2,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,MO,younger,TP
2,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
1,MO,younger,MO
1,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
1,MO,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
2,TP,younger,MO
2,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
4,MO,younger,MO
0,MO,younger,MO
2,MO,younger,TP
0,MO,younger,TP
2,MO,younger,TP
1,MO,younger,TP
1,MO,younger,TP
1,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,TP,younger,TP
1,TP,younger,MO
4,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
1,TP,younger,MO
1,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
1,MO,younger,TP
0,TP,younger,MO
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
1,TP,younger,TP
0,TP,younger,MO
2,TP,younger,TP
8,MO,younger,MO
3,MO,younger,TP
5,MO,younger,TP
7,MO,younger,MO
3,MO,younger,MO
6,MO,younger,TP
5,MO,younger,TP
3,MO,younger,TP
1,TP,younger,TP
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
2,MO,younger,TP
2,MO,younger,TP
0,MO,younger,MO
1,MO,younger,TP
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
1,TP,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
1,MO,younger,MO
2,TP,younger,MO
5,TP,younger,MO
3,TP,younger,MO
1,TP,younger,TP
2,TP,younger,MO
0,TP,younger,MO
4,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
2,MO,younger,TP
0,MO,younger,MO
2,MO,younger,TP
2,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
2,MO,younger,TP
2,TP,younger,MO
5,TP,younger,MO
7,TP,younger,MO
4,TP,younger,TP
3,TP,younger,MO
2,TP,younger,TP
1,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
5,TP,younger,TP
1,TP,younger,MO
1,MO,younger,TP
6,MO,younger,TP
5,MO,younger,MO
1,MO,younger,TP
1,MO,younger,TP
3,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
2,MO,younger,TP
1,MO,younger,TP
5,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
1,TP,younger,TP
4,TP,younger,MO
4,TP,younger,TP
1,TP,younger,TP
1,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
2,TP,younger,TP
0,MO,younger,MO
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
1,MO,younger,TP
3,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
2,TP,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
1,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,TP,younger,TP
1,TP,younger,MO
0,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
1,TP,younger,TP
2,TP,younger,TP
1,TP,younger,TP
1,TP,younger,TP
0,TP,younger,MO
3,TP,younger,TP
0,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
2,MO,younger,MO
4,MO,younger,TP
0,MO,younger,MO
1,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
1,TP,younger,MO
1,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
3,TP,younger,MO
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
2,MO,younger,MO
1,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
11,TP,younger,MO
0,TP,younger,MO
3,TP,younger,TP
2,TP,younger,MO
2,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
2,MO,younger,TP
0,MO,younger,TP
3,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
3,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
2,MO,younger,MO
0,MO,younger,TP
0,TP,younger,TP
1.32,TP,younger,MO
0,TP,younger,MO
4,TP,younger,TP
4,TP,younger,TP
0,TP,younger,TP
2,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,TP
0,MO,younger,TP
2,MO,younger,MO
0,MO,younger,MO
4,MO,younger,TP
1,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
1,TP,younger,TP
0,TP,younger,TP
3,TP,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,TP,younger,MO
0,TP,younger,TP
1.32,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
1,MO,younger,TP
0,MO,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
2,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
2,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
2,MO,younger,TP
2.64,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
1,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
1,TP,younger,MO
0,TP,younger,MO
4,TP,younger,MO
1,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
1,MO,younger,TP
1,MO,younger,TP
0,MO,younger,TP
0,TP,younger,TP
2,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
3,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
2,MO,younger,MO
1,MO,younger,MO
1,MO,younger,TP
0,MO,younger,TP
1,MO,younger,TP
1,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
1,TP,younger,MO
2,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
4,MO,younger,MO
1,MO,younger,MO
1,MO,younger,MO
0,MO,younger,TP
1,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
3,MO,younger,MO
3,MO,younger,TP
1,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
1,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
1,TP,younger,MO
1,TP,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
3,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
2,MO,younger,TP
0,MO,younger,MO
0,TP,younger,TP
1,TP,younger,MO
0,TP,younger,MO
1,TP,younger,MO
0,TP,younger,MO
1,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
2,MO,younger,MO
0,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
3,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
2,TP,younger,MO
2,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,TP,younger,MO
2,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
7,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
3,TP,younger,TP
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
3,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,TP,younger,MO
2,TP,younger,TP
5,TP,younger,MO
1,TP,younger,TP
3,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
2,TP,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,TP
0,MO,younger,TP
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
1,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,TP
2,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
2,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
2,TP,younger,MO
4,TP,younger,TP
3,TP,younger,MO
0,TP,younger,TP
1,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
5,TP,younger,TP
1,TP,younger,TP
2,TP,younger,MO
1,TP,younger,TP
5,MO,younger,TP
4,MO,younger,MO
2,MO,younger,MO
0,MO,younger,TP
1,MO,younger,TP
0,MO,younger,MO
3,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
1,MO,younger,MO
4,MO,younger,MO
0,TP,younger,MO
0,TP,younger,TP
1,TP,younger,MO
0,TP,younger,MO
2.64,TP,younger,TP
1,TP,younger,MO
1,TP,younger,MO
1,TP,younger,TP
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
1.32,MO,younger,MO
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
1,TP,younger,TP
0,TP,younger,MO
2,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
0,TP,younger,TP
1,TP,younger,TP
2,TP,younger,TP
2,TP,younger,TP
1,MO,younger,MO
4,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
1,MO,younger,TP
1,MO,younger,TP
2,MO,younger,TP
4,MO,younger,MO
1,MO,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
